,base,authors_l,title_l,title,journal_l,keywords_l,year,language,doi
54,lisa,"seno essien antia-obong, biddy casselden, alison pickard",a bibliometric analysis of journal of higher education management jhem from 2007 to 2016,A Bibliometric Analysis of Journal of Higher Education Management (JHEM) from 2007 to 2016,library philosophy and practice,"research , handbooks , higher education , citations , collaboration , bibliometrics , journals , science , studies , publications , knowledge management , library and information science , librarians , researchers , libraries , isamuddin, riduan (hambali)",2019,English,
55,lisa,mohsen jalali,accessibility and decay of web citations in computer science journals,Accessibility and Decay of Web Citations in Computer Science journals,library philosophy and practice,"research , dermatology , scientometrics , bibliometrics , computer science , journals , urls , open access publishing , electronic periodicals , library and information science , medical libraries , citation analysis , researchers , internet resources , philosophy , scholarly communication , library associations",2019,English,
56,lisa,g stephen,altmetric for the spread of true and false news online a study of using altmetric it tool,ALTMETRIC FOR THE SPREAD OF TRUE AND FALSE NEWS ONLINE - A STUDY OF USING ALTMETRIC IT TOOL,library philosophy and practice,"library management , birth defects , scientometrics , zika virus , bibliometrics , science , academic libraries , medical research , library and information science , social networks , scholars , researchers , meditation , discipline , professionals , research & development--r&d , informetrics , united states--us",2019,English,
57,lisa,scott goldstein,publons peer evaluation metrics are not reliable measures of quality or impact,Publons Peer Evaluation Metrics are not Reliable Measures of Quality or Impact,evidence based library and information practice,"bibliometrics , informetrics , quality",2019,English,10.18438/eblip29579
58,lisa,metwaly ali mohamed eldakar,who reads international egyptian academic articles an altmetrics analysis of mendeley readership categories,Who reads international Egyptian academic articles? An altmetrics analysis of Mendeley readership categories,scientometrics,"social sciences , research , databases , social organization , webometrics , bibliometrics , citation indexes , social networks , scientific papers , physical sciences , documents , citation analysis , indicators , researchers , statistical analysis , readers , students , resource sharing , egypt",2019,English,10.1007/s11192-019-03189-7
59,lisa,"cristina lopez-duarte, marta m vidal-suarez, belen gonzalez-diaz",cross national distance and international business an analysis of the most influential recent models,Cross-national distance and international business: an analysis of the most influential recent models,scientometrics,"research , citation analysis , journals , business , bibliometrics , models",2019,English,10.1007/s11192-019-03203-y
60,lisa,"mohammadamin erfanmanesh, a noorhidawati, a abrizah",what can bookmetrix tell us about the impact of springer natures books,What can Bookmetrix tell us about the impact of Springer Nature’s books,scientometrics,"social sciences , engineering , bibliometrics , social networks , books , social networks , medicine , bibliometrics , windows (intervals) , downloading , population studies , books , books , social sciences , digital media , medicine , books",2019,English,10.1007/s11192-019-03198-6
61,lisa,"chi pei-shan, juan gorraiz, wolfgang glanzel",comparing capture usage and citation indicators an altmetric analysis of journal papers in chemistry disciplines,"Comparing capture, usage and citation indicators: an altmetric analysis of journal papers in chemistry disciplines",scientometrics,"indicators , citation analysis , indicators , organic chemistry , bibliometrics , informetrics",2019,English,10.1007/s11192-019-03168-y
62,lisa,"rongying zhao, xu wang",evaluation and comparison of influence in international open access journals between china and usa,Evaluation and comparison of influence in international Open Access journals between China and USA,scientometrics,"reliability analysis , reliability aspects , factor analysis , mathematical analysis , bibliometrics , dimensional analysis , correlation analysis , open access publishing , two dimensional analysis , indicators , indicators , citation analysis , factor analysis , informetrics , dimensional analysis , evaluation , correlation analysis , factor analysis , correlation analysis , united states--us , china",2019,English,10.1007/s11192-019-03159-z
63,lisa,"said anwar, timothy d bowman, rabeeh ayaz abbasi, naif radi aljohani, saeed-ul hassan, raheel nawaz",mining network level properties of twitter altmetrics data,Mining network-level properties of Twitter altmetrics data,scientometrics,"social networks , communities , social organization , black boxes , bibliometrics , properties (attributes) , network analysis , social networks , informetrics , digital media , data mining , social network analysis",2019,English,10.1007/s11192-019-03112-0
64,lisa,sergio copiello,research interest another undisclosed and redundant algorithm by researchgate,Research Interest: another undisclosed (and redundant) algorithm by ResearchGate,scientometrics,"algorithms , social organization , bibliometrics , social networks , redundancy",2019,English,10.1007/s11192-019-03124-w
65,lisa,"mozhdeh salajegheh, sareh dayari",comparing the citations counts and altmetrics of the top medical science journals in scopus,Comparing the Citations Counts and Altmetrics of the Top Medical Science Journals in Scopus,international journal of information science and management,"science , bibliometrics , informetrics",2019,English,
66,lisa,"qianjin zong, yafen xie, rongchan tuo, jingshi huang, yang yang",the impact of video abstract on citation counts evidence from a retrospective cohort study of new journal of physics,The impact of video abstract on citation counts: evidence from a retrospective cohort study of New Journal of Physics,scientometrics,"authoring , regression analysis , physics , regression models , international co authorship",2019,English,10.1007/s11192-019-03108-w
67,lisa,"xi zhang, xianhai wang, hongke zhao, patricia ordonez de pablos, yongqiang sun, hui xiong",an effectiveness analysis of altmetrics indices for different levels of artificial intelligence publications,An effectiveness analysis of altmetrics indices for different levels of artificial intelligence publications,scientometrics,"research , citation analysis , artificial intelligence , artificial intelligence , bibliometrics , artificial intelligence , informetrics , artificial intelligence , documents , digital media",2019,English,10.1007/s11192-019-03088-x
68,lisa,"mohammad karim saberi, faezeh ekhtiyari",usage captures mentions social media and citations of lis highly cited papers an altmetrics study,"Usage, captures, mentions, social media and citations of LIS highly cited papers: an altmetrics study",performance measurement and metrics,"research , web 2.0 , collaboration , science , social networks , trends , analytics , statistical tests , scientific papers , social impact , interdisciplinary aspects , library and information science , indicators , citation analysis , researchers , open access , use statistics , data analysis , scientometrics , journals , bibliometrics , citation indexes , studies , publications , advantages , social networks , authorship , impact factors , informetrics , digital media , correlation analysis",2019,English,10.1108/pmm-10-2018-0025
69,lisa,"rafael repiso, antonio castillo-esparcia, daniel torres-salinas",altmetrics alternative indicators for web of science communication studies journals,"Altmetrics, alternative indicators for Web of Science Communication studies journals",scientometrics,"social networks , indicators , journals , bibliometrics , platforms , informetrics , communication , digital media",2019,English,10.1007/s11192-019-03070-7
70,lisa,elizabeth gadd,influencing the changing world of research evaluation,Influencing the changing world of research evaluation,insights,"research , peer review , scientometrics , journals , bibliometrics , academic libraries , funding , publications , recruitment , librarians , research management , ratings & rankings , working groups , open access , competition",2019,English,
71,lisa,katrine sundsbo,open access escape room the key to oa engagement,Open Access Escape Room: the key to OA engagement?,insights,"research , community relations , journals , verbal communication , open access publishing , copyright , workshops , researchers , scholarly publishing , libraries , scholarly communication , literacy , training , colleges & universities , united kingdom--uk",2019,English,
